Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
мультиовощной,тихвинский уездъ,146.0,1,л,146.0,4.9
вишня,fine life,213.0,1,л,213.0,5.0
персик,aro,216.0,3,л,72.0,4.5
яблоко,rioba,176.0,1,л,176.0,
апельсин,swell,169.0,750,мл,225.33,
яблоко,aro,19.0,200,мл,95.0,4.9
томат,aro,216.0,3,л,72.0,4.6
апельсин,pulpy,119.0,900,мл,132.22,5.0
апельсин,любимый,119.0,950,мл,125.26,
вишня,любимый,34.0,200,мл,170.0,
томат,santal,233.0,1,л,233.0,5.0
яблоко,swell,149.0,750,мл,198.67,
мультифрукт,любимый,199.0,1,л,199.0,
апельсин,сады придонья,219.0,2,л,109.5,
манго,vinut,119.0,330,мл,360.61,5.0
апельсин,pulpy,116.0,450,мл,257.78,
ананас,il primo,232.0,1,л,232.0,
яблоко,добрый,124.0,1,л,124.0,
банан,добрый,139.0,1,л,139.0,
гуава,vinut,119.0,330,мл,360.61,5.0
ананас,мой,89.0,950,мл,93.68,
личи,vinut,119.0,330,мл,360.61,5.0
манго,любимый,124.0,970,мл,127.84,
вишня,rioba,188.0,1,л,188.0,5.0
грейпфрут,il primo,209.0,1,л,209.0,5.0
апельсин,сады придонья,1314.0,6,шт,219.0,
,тихвинский уездъ,152.0,1,л,152.0,4.6
,моя семья,179.0,1,л,179.0,
грейпфрут,любимый,124.0,970,мл,127.84,
мультифрукт,любимый,119.0,950,мл,125.26,5.0
,rioba,89.0,250,мл,356.0,5.0
ананас,добрый,282.0,2,л,141.0,4.8
яблоко,я,229.0,970,мл,236.08,5.0
абрикос,fine life,213.0,1,л,213.0,
мультифрукт,aro,19.0,200,мл,95.0,4.9
персик,aro,19.0,200,мл,95.0,4.8
вишня,aro,19.0,200,мл,95.0,4.8
яблоко,aro,70.0,1,л,70.0,4.8
,тихвинский уездъ,146.0,1,л,146.0,5.0
,pulpy,119.0,900,мл,132.22,
,ростагроэкспорт,92.0,500,г,184.0,5.0
вишня,ростагроэкспорт,92.0,500,мл,184.0,
яблоко,j7,89.0,300,мл,296.67,
,rioba,89.0,250,мл,356.0,
клюква,ростагроэкспорт,92.0,500,г,184.0,
клюква,rioba,89.0,250,мл,356.0,5.0
,я,114.0,500,мл,228.0,5.0
томат,любимый,199.0,1,л,199.0,
виноград,il primo,209.0,1,л,209.0,
манго,j7,189.0,970,мл,194.85,
апельсин,rich,958.0,12,шт,79.83,
груша,сады придонья,119.0,1,л,119.0,5.0
апельсин,rich,79.0,300,мл,263.33,
апельсин,rioba,719.0,8,шт,89.88,
апельсин,j7,2268.0,12,шт,189.0,
мультифрукт,добрый,44.0,200,мл,220.0,5.0
,тихвинский уездъ,146.0,1,л,146.0,
яблоко,баринофф,84.0,250,мл,336.0,
клюква,я,117.0,500,мл,234.0,5.0
грейпфрут,любимый,1488.0,12,шт,124.0,
,любимый,1428.0,12,шт,119.0,
ананас,il primo,479.0,8,шт,59.88,
