Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
БразилияТрес-Понтас,натуральный фанки,для эспрессо,"Сладкий кофе с нотами красного апельсина , тёмных ягод , фундука и молочного шоколада",0.6,0.6,1000,г,2849,2849.0,4.5,285
COFFEE KOMBUCHA,,комбуча,4 банки с комбучей на основе кофе из Бразилии и Эфиопии,,,4,шт,949,237.25,4.8,8
CASCARA KOMBUCHA,,комбуча,4 банки с комбучей на основе мякоти кофейных ягод,,,4,шт,839,209.75,4.6,74
Кения Ньери Хилл,мытый,для эспрессо,"Сочный кофе с нотами апельсина , чёрной смородины , груши и тёмного шоколада",0.4,1.0,1000,г,3499,3499.0,4.7,93
Кения Ндиаини,мытый,для фильтра,"Сочный кофе с нотами вишни , красной смородины , чёрного чая и какао",0.4,1.0,1000,г,3599,3599.0,4.6,77
Хани,смесь,для эспрессо,"Сладкий кофе с нотами цветочного мёда , сухофруктов и тёмного шоколада",0.8,0.6,1000,г,2479,2479.0,4.6,311
ЭфиопияГери Анаэробный,натуральный фанки,для эспрессо,"Яркий кофе с нотами мандарина , персика , черники и красного вермута",0.6,0.8,1000,г,3599,3599.0,4.5,151
Кения Гитуара,мытый,для фильтра,"Сочный кофе с нотами грейпфрута , красной смородины , тёмного винограда и тёмного шоколада",0.4,1.0,1000,г,3329,3329.0,4.6,248
Эфиопия Урага,натуральный,для эспрессо,"Сладкий кофе с нотами апельсина , абрикоса , красного яблока и тёмного шоколада",0.6,0.6,1000,г,3159,3159.0,4.7,211
БразилияСуль-де-Минас,натуральный,дрип-пакеты,"Сладкий кофе с нотами арахиса , пудры какао и цедры лимона",0.6,0.4,10,шт,579,57.9,4.7,67
ИндонезияСуматра Гайо,вет-халл,дрип-пакеты,"Яркий кофе со вкусом шиповника , мандарина и листа смородины",0.8,0.8,50,шт,2779,55.58,4.1,18
ИндонезияСуматра Гайо,вет-халл,дрип-пакеты,"Яркий кофе со вкусом шиповника , мандарина и листа смородины",0.8,0.8,30,шт,1879,62.63,4.3,2
