Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л
Колбаса,Cortador,199.0,120,г,1658.33
Колбаса,Черкизово,194.0,85,г,2282.35
Колбаса,Casademont,409.0,110,г,3718.18
Колбаса,Solemici,299.0,110,г,2718.18
Колбаса,Клинский,399.0,450,г,886.67
Колбаса,Вязанка,799.0,1,кг,799.0
Колбаса,Останкино,449.0,660,г,680.3
Колбаса,Велком,339.0,350,г,968.57
Колбаса,Рублевский,265.0,270,г,981.48
METRO,Chef,479.0,1,кг,479.0
Колбаса,Casademont,369.0,90,г,4100.0
Колбаса,Клинский,109.0,85,г,1282.35
Колбаса,Дымов,959.0,1,кг,959.0
Мясной,снек,119.0,70,г,1700.0
Ветчина,из,199.0,120,г,1658.33
Колбаса,Черкизово,1429.0,1,кг,1429.0
Колбаса,Клинский,619.0,300,г,2063.33
Колбаса,Рублевский,299.0,400,г,747.5
Снек,мясной,119.0,70,г,1700.0
Колбаса,Велком,204.0,90,г,2266.67
Колбаса,Мясной,279.0,350,г,797.14
Ветчина,Вязанка,519.0,1,кг,519.0
Колбаса,Casademont,459.0,110,г,4172.73
Колбаса,Клинский,559.0,360,г,1552.78
Колбаса,Мясницкий,109.0,90,г,1211.11
Колбаса,Мираторг,359.0,300,г,1196.67
Колбаса,Папа,292.0,350,г,834.29
Колбаса,Останкино,98.0,100,г,980.0
Колбаса,Индилайт,159.0,70,г,2271.43
Колбаса,Стародворье,379.0,1,кг,379.0
Колбаса,Casademont,139.0,90,г,1544.44
Ассорти,колбас,215.0,85,г,2529.41
Колбаски,Дымов,64.0,50,г,1280.0
Колбаски,Дымов,64.0,50,г,1280.0
Колбаса,Царицыно,1649.0,500,г,3298.0
Колбаса,Клинский,197.0,190,г,1036.84
Ассорти,колбас,609.0,120,г,5075.0
Колбаса,Мясницкий,299.0,400,г,747.5
Колбаса,Labeyrie,439.0,200,г,2195.0
Колбаса,Черкизово,279.0,250,г,1116.0
Колбаса,Мясницкий,229.0,300,г,763.33
Колбаса,Черкизово,1289.0,1,кг,1289.0
Колбаски,Мираторг,129.0,70,г,1842.86
Колбаса,Останкино,1539.0,500,г,3078.0
Колбаса,Итальянская,349.0,300,г,1163.33
Колбаса,Дымов,2369.0,600,г,3948.33
Колбаса,Дымов,2369.0,600,г,3948.33
Колбаса,Рублевский,239.0,300,г,796.67
Колбаса,Эколь,2279.0,400,г,5697.5
Ветчина,Черкизово,459.0,2,кг,229.5
Колбаса,Casademont,459.0,110,г,4172.73
Колбаса,сервелат,179.0,100,г,1790.0
Колбаса,Рублевский,479.0,270,г,1774.07
Колбаса,Cortador,399.0,300,г,1330.0
Ассорти,колбас,119.0,90,г,1322.22
Колбаса,Черкизово,579.0,300,г,1930.0
Ветчина,Рублевский,309.0,350,г,882.86
Сервелат,Окраина,479.0,355,г,1349.3
Колбаса,Велком,349.0,400,г,872.5
Колбаса,Черкизово,269.0,250,г,1076.0
Колбаски,Ремит,109.0,70,г,1557.14
METRO,Chef,629.0,500,г,1258.0
Колбаса,Рублевский,1649.0,500,г,3298.0
Ветчина,Мясной,365.0,500,г,730.0
Колбаса,Мясная,289.0,1,кг,289.0
Колбаса,Ремит,159.0,80,г,1987.5
Колбаса,Егорьевская,419.0,220,г,1904.55
Колбаса,Охотный,2089.0,470,г,4444.68
Колбаса,Cortador,189.0,80,г,2362.5
Колбаса,вареная,399.0,400,г,997.5
METRO,Chef,629.0,500,г,1258.0
Колбаса,Мясной,145.0,190,г,763.16
Колбаса,Егорьевская,169.0,100,г,1690.0
Колбаса,Черный,189.0,190,г,994.74
Колбаса,Черкизово,1849.0,500,г,3698.0
Колбаса,Ремит,159.0,80,г,1987.5
Колбаса,Черкизово,899.0,450,г,1997.78
Ассорти,салями,209.0,70,г,2985.71
Ассорти,колбас,569.0,120,г,4741.67
Колбаса,Велком,509.0,235,г,2165.96
Колбаса,губернская,279.0,1,кг,279.0
Колбаса,Останкино,1899.0,500,г,3798.0
Fine,Life,1539.0,500,г,3078.0
Колбаса,Casademont,268.0,70,г,3828.57
Колбаса,Рублевский,249.0,270,г,922.22
Колбаса,Ближние,179.0,300,г,596.67
Колбаса,Salumi,429.0,200,г,2145.0
Колбаса,Клинский,389.0,340,г,1144.12
Колбаса,Егорьевская,349.0,450,г,775.56
Колбаса,Мясной,319.0,500,г,638.0
Ассорти,колбас,219.0,180,г,1216.67
Колбаса,Велком,119.0,70,г,1700.0
Колбаски,Ремит,109.0,70,г,1557.14
Колбаса,Велком,119.0,70,г,1700.0
Колбаса,Casademont,2489.0,1,кг,2489.0
Ветчина,Мираторг,209.0,400,г,522.5
Ветчина,Империя,189.0,400,г,472.5
Колбаса,Дымов,239.0,230,г,1039.13
Колбаса,Мясная,159.0,500,г,318.0
Колбаски,mini,199.0,80,г,2487.5
Колбаса,Ремит,1719.0,400,г,4297.5
Колбаса,Мясницкий,249.0,200,г,1245.0
Ветчина,Папа,199.0,400,г,497.5
Колбаски,из,129.0,70,г,1842.86
Колбаса,Идель,299.0,1,кг,299.0
Колбаса,Ремит,969.0,400,г,2422.5
Колбаса,Ремит,969.0,400,г,2422.5
Колбаса,Индилайт,159.0,120,г,1325.0
Колбаски,Дымов,64.0,50,г,1280.0
Колбаса,Велком,379.0,235,г,1612.77
aro,Ветчина,177.0,400,г,442.5
Колбаса,Егорьевская,185.0,100,г,1850.0
Колбаса,Solemici,319.0,110,г,2900.0
Колбаса,Эколь,469.0,600,г,781.67
Колбаса,Дымов,219.0,330,г,663.64
Колбаски,Дымов,89.0,70,г,1271.43
Колбаски,Мясницкий,99.0,60,г,1650.0
Ветчина,Вязанка,369.0,450,г,820.0
Колбаса,Клинский,339.0,450,г,753.33
Колбаса,Ремит,241.0,190,г,1268.42
Колбаса,Solemici,209.0,70,г,2985.71
Колбаса,Дымов,209.0,230,г,908.7
Колбаса,Идель,145.0,500,г,290.0
Колбаса,Идель,229.0,350,г,654.29
Колбаса,Черкизово,227.0,100,г,2270.0
Колбаса,Черкизово,699.0,300,г,2330.0
